GEO_ID,NAME,S2704_C01_001E
0500000US37001,"Alamance County, North Carolina",168204
0500000US37003,"Alexander County, North Carolina",35330
0500000US37005,"Alleghany County, North Carolina",10816
0500000US37007,"Anson County, North Carolina",20888
0500000US37009,"Ashe County, North Carolina",26370
0500000US37011,"Avery County, North Carolina",15417
0500000US37013,"Beaufort County, North Carolina",44565
0500000US37015,"Bertie County, North Carolina",16810
0500000US37017,"Bladen County, North Carolina",29797
0500000US37019,"Brunswick County, North Carolina",132858
0500000US37021,"Buncombe County, North Carolina",263543
0500000US37023,"Burke County, North Carolina",85753
0500000US37025,"Cabarrus County, North Carolina",219743
0500000US37027,"Caldwell County, North Carolina",79898
0500000US37029,"Camden County, North Carolina",10317
0500000US37031,"Carteret County, North Carolina",66528
0500000US37033,"Caswell County, North Carolina",21799
0500000US37035,"Catawba County, North Carolina",158399
0500000US37037,"Chatham County, North Carolina",74534
0500000US37039,"Cherokee County, North Carolina",28198
0500000US37041,"Chowan County, North Carolina",13580
0500000US37043,"Clay County, North Carolina",10954
0500000US37045,"Cleveland County, North Carolina",98630
0500000US37047,"Columbus County, North Carolina",48845
0500000US37049,"Craven County, North Carolina",94556
0500000US37051,"Cumberland County, North Carolina",301198
0500000US37053,"Currituck County, North Carolina",27196
0500000US37055,"Dare County, North Carolina",36507
0500000US37057,"Davidson County, North Carolina",166501
0500000US37059,"Davie County, North Carolina",42276
0500000US37061,"Duplin County, North Carolina",49541
0500000US37063,"Durham County, North Carolina",315267
0500000US37065,"Edgecombe County, North Carolina",49106
0500000US37067,"Forsyth County, North Carolina",377617
0500000US37069,"Franklin County, North Carolina",66809
0500000US37071,"Gaston County, North Carolina",224107
0500000US37073,"Gates County, North Carolina",10537
0500000US37075,"Graham County, North Carolina",8003
0500000US37077,"Granville County, North Carolina",58143
0500000US37079,"Greene County, North Carolina",18226
0500000US37081,"Guilford County, North Carolina",533209
0500000US37083,"Halifax County, North Carolina",48290
0500000US37085,"Harnett County, North Carolina",127148
0500000US37087,"Haywood County, North Carolina",61320
0500000US37089,"Henderson County, North Carolina",114703
0500000US37091,"Hertford County, North Carolina",20677
0500000US37093,"Hoke County, North Carolina",48624
0500000US37095,"Hyde County, North Carolina",4234
0500000US37097,"Iredell County, North Carolina",182898
0500000US37099,"Jackson County, North Carolina",42767
0500000US37101,"Johnston County, North Carolina",209927
0500000US37103,"Jones County, North Carolina",9243
0500000US37105,"Lee County, North Carolina",61642
0500000US37107,"Lenoir County, North Carolina",54367
0500000US37109,"Lincoln County, North Carolina",85137
0500000US37111,"McDowell County, North Carolina",43618
0500000US37113,"Macon County, North Carolina",36392
0500000US37115,"Madison County, North Carolina",21025
0500000US37117,"Martin County, North Carolina",22105
0500000US37119,"Mecklenburg County, North Carolina",1095629
0500000US37121,"Mitchell County, North Carolina",14879
0500000US37123,"Montgomery County, North Carolina",24975
0500000US37125,"Moore County, North Carolina",94263
0500000US37127,"Nash County, North Carolina",93565
0500000US37129,"New Hanover County, North Carolina",222703
0500000US37131,"Northampton County, North Carolina",17225
0500000US37133,"Onslow County, North Carolina",161576
0500000US37135,"Orange County, North Carolina",146803
0500000US37137,"Pamlico County, North Carolina",11632
0500000US37139,"Pasquotank County, North Carolina",38686
0500000US37141,"Pender County, North Carolina",58540
0500000US37143,"Perquimans County, North Carolina",12918
0500000US37145,"Person County, North Carolina",38670
0500000US37147,"Pitt County, North Carolina",169245
0500000US37149,"Polk County, North Carolina",19176
0500000US37151,"Randolph County, North Carolina",142590
0500000US37153,"Richmond County, North Carolina",42067
0500000US37155,"Robeson County, North Carolina",117289
0500000US37157,"Rockingham County, North Carolina",89903
0500000US37159,"Rowan County, North Carolina",143756
0500000US37161,"Rutherford County, North Carolina",63687
0500000US37163,"Sampson County, North Carolina",58628
0500000US37165,"Scotland County, North Carolina",32921
0500000US37167,"Stanly County, North Carolina",60808
0500000US37169,"Stokes County, North Carolina",44138
0500000US37171,"Surry County, North Carolina",70753
0500000US37173,"Swain County, North Carolina",14005
0500000US37175,"Transylvania County, North Carolina",32563
0500000US37177,"Tyrrell County, North Carolina",2718
0500000US37179,"Union County, North Carolina",234560
0500000US37181,"Vance County, North Carolina",42279
0500000US37183,"Wake County, North Carolina",1105378
0500000US37185,"Warren County, North Carolina",18156
0500000US37187,"Washington County, North Carolina",11051
0500000US37189,"Watauga County, North Carolina",53821
0500000US37191,"Wayne County, North Carolina",113436
0500000US37193,"Wilkes County, North Carolina",65573
0500000US37195,"Wilson County, North Carolina",77985
0500000US37197,"Yadkin County, North Carolina",36865
0500000US37199,"Yancey County, North Carolina",18210